Red,Yellow,Blue,ch583,ch670,ch510,ch410,ch620,ch470,ch550,ch440
75,78,147,390,223,197,18,421,92,310,73
98,190,12,403,229,196,19,432,91,316,68
105,115,80,391,222,192,18,420,92,309,71
213,18,69,392,225,190,17,420,90,303,73
109,117,74,393,228,196,19,425,94,309,73
129,88,83,402,238,203,20,438,96,316,78
37,90,173,409,254,217,21,454,107,330,86
75,154,71,445,283,238,23,494,118,359,93
73,205,22,477,309,253,26,535,126,385,97
25,190,85,445,253,227,23,477,105,354,82
88,132,80,413,240,210,20,448,99,328,75
216,45,39,390,226,192,19,424,91,305,71
97,133,70,373,221,189,17,407,86,294,67
112,85,103,361,213,185,17,396,85,286,67
127,57,116,355,213,183,17,391,87,283,67
100,133,67,363,216,187,16,397,87,289,68
107,90,103,363,220,189,17,401,89,291,70
230,11,59,379,233,195,19,421,96,302,73
27,112,161,386,243,211,20,431,102,313,80
24,152,124,406,263,226,22,455,111,331,84
40,43,217,411,272,232,22,467,118,336,92
55,115,130,414,240,214,19,446,99,331,78
128,55,117,380,225,196,19,414,93,302,71
85,106,109,358,212,186,17,392,86,287,67
138,31,131,339,206,179,16,373,82,273,65
